iter	Passed	Remaining
1480	11932	68635
1481	11944	68653
1482	11955	68664
1483	11967	68675
1484	11978	68687
1485	11991	68705
1486	12002	68716
1487	12016	68738
1488	12028	68755
1489	12039	68762
1490	12048	68760
1491	12064	68796
1492	12076	68811
1493	12090	68834
1494	12102	68849
1495	12116	68875
1496	12130	68899
1497	12141	68909
1498	12154	68930
1499	12170	68963
1500	12184	68990
1501	12196	69006
1502	12208	69021
1503	12222	69046
1504	12236	69066
1505	12249	69087
1506	12264	69117
1507	12278	69144
1508	12291	69165
1509	12310	69218
1510	12323	69234
1511	12338	69267
1512	12349	69275
1513	12363	69298
1514	12377	69324
1515	12389	69337
1516	12403	69360
1517	12414	69369
1518	12425	69373
1519	12436	69380
1520	12448	69398
1521	12459	69405
1522	12473	69429
1523	12488	69457
1524	12502	69479
1525	12514	69491
1526	12527	69510
1527	12533	69493
1528	12545	69507
1529	12556	69510
1530	12568	69525
1531	12575	69512
1532	12587	69523
1533	12632	69719
1534	12650	69764
1535	12658	69751
1536	12669	69758
1537	12683	69782
1538	12697	69807
1539	12712	69834
1540	12726	69859
1541	12740	69882
1542	12751	69892
1543	12764	69906
1544	12778	69929
1545	12792	69955
1546	12804	69965
1547	12815	69969
1548	12828	69988
1549	12840	70002
1550	12853	70020
1551	12865	70030
1552	12878	70045
1553	12890	70061
1554	12904	70084
1555	12916	70093
1556	12928	70107
1557	12940	70117
1558	12952	70127
1559	12965	70145
1560	12976	70155
1561	12988	70166
1562	13000	70177
1563	13012	70186
1564	13024	70199
1565	13037	70216
1566	13048	70223
1567	13061	70241
1568	13074	70257
1569	13087	70270
1570	13095	70260
1571	13108	70280
1572	13123	70307
1573	13130	70293
1574	13145	70316
1575	13161	70350
1576	13173	70359
1577	13185	70371
1578	13198	70388
1579	13213	70414
1580	13234	70475
1581	13248	70496
1582	13260	70506
1583	13272	70520
1584	13286	70537
1585	13297	70546
1586	13305	70535
1587	13318	70549
1588	13333	70576
1589	13386	70805
1590	13420	70930
1591	13432	70940
1592	13450	70984
1593	13463	71000
1594	13477	71020
1595	13492	71048
1596	13501	71038
1597	13514	71057
1598	13529	71082
1599	13541	71093
1600	13556	71118
1601	13571	71144
1602	13585	71166
1603	13600	71188
1604	13613	71206
1605	13624	71211
1606	13636	71221
1607	13648	71232
1608	13660	71241
1609	13672	71247
1610	13683	71253
